Name,Visitor Clicks,Total Clicks,Bounce Rate
budget,19,46,0.587
cdwkids,0,1,1.0
fantasyfootballpower,0,2,1.0
trisports,0,1,1.0
tommyhilfiger,0,2,1.0
interfacebeauty,0,1,1.0
stealthdatasolutions,0,1,1.0
evilangel,0,1,1.0
funpartiesbystaci,0,1,1.0
ballsout,0,1,1.0
halfpricebooks,1,4,0.75
quickietools,0,1,1.0
hotcoupon4u,0,1,1.0
medalsofamerica,0,3,1.0
nationalbuildersupply,2,3,0.333
invisibelt,0,1,1.0
petfooddirect,1,8,0.875
sundancecatalog,1,15,0.933
goshopus,0,1,1.0
filtershopper,0,1,1.0
flycafe,0,1,1.0
fossil,1,16,0.938
legalzoom,0,1,1.0
expresscanadiandrugs,0,1,1.0
lucidcomputer,0,1,1.0
purseboutique,0,2,1.0
thechildrenswearoutlet,0,3,1.0
sogoideas,0,1,1.0
iconshoes,1,2,0.5
jarrow,0,2,1.0
sonyrewards,1,5,0.8
missme,0,3,1.0
fraps,0,1,1.0
affiliates,0,8,1.0
thehomedecoratingcompany,0,4,1.0
peadpod,0,2,1.0
zippocasemuseum,1,6,0.833
lecensebeef,0,1,1.0
smartcover,0,3,1.0
dmusastore,0,4,1.0
easyclosets,1,3,0.667
eyegoodies,0,1,1.0
makingthenews,0,1,1.0
justdish,0,1,1.0
modeltrainsoftware,0,1,1.0
banneroftruth,0,1,1.0
hotelsntours,0,1,1.0
kids,0,1,1.0
needcostumes,0,1,1.0
glutenfree,0,4,1.0
camelsmokers,0,2,1.0
goget,0,2,1.0
allprotools,0,1,1.0
freelipink,0,2,1.0
bluelounge,0,2,1.0
countrystorecatalog,0,2,1.0
travelcell,0,2,1.0
highreach,0,1,1.0
mirnanoc,0,1,1.0
shellyroses,0,2,1.0
empirerans,0,1,1.0
gardenbotanika,1,1,0.0
preserveproducts,0,2,1.0
txi,0,1,1.0
pandaexpress,7,25,0.72
houseaccents,0,1,1.0
edealeasy,0,1,1.0
gogogear,0,1,1.0
prenhall,0,2,1.0
phantomplate,0,1,1.0
urbanbaby,0,2,1.0
txu,1,4,0.75
humankinetics,0,1,1.0
formymobile,0,1,1.0
sushidate,0,1,1.0
leathercoatsetc,0,2,1.0
aup,0,1,1.0
hairwigharlem,0,2,1.0
bassrewards,0,1,1.0
nemesishost,0,1,1.0
music,0,1,1.0
card,0,1,1.0
hellpizza,1,4,0.75
ventraip,0,1,1.0
allegromedical,0,2,1.0
naimies,0,1,1.0
heavenandearthjewelry,0,1,1.0
koolsense,0,1,1.0
dogwoodusa,0,1,1.0
jms,0,12,1.0
classicshapewear,0,1,1.0
innatpelicanbay,0,1,1.0
yahoo,1,4,0.75
alssports,1,7,0.857
spakist,0,2,1.0
aubreynicole,0,1,1.0
roccosiffredi,0,1,1.0
biblio,2,3,0.333
masseyoutfitters,0,1,1.0
abbottstore,0,3,1.0
glamour4u,0,1,1.0
amainhobbies,1,4,0.75
usoutdoor,0,1,1.0
telepizza,0,1,1.0
hellobabydirect,0,1,1.0
discoverytsx,0,1,1.0
marieisabella,0,1,1.0
theplacefurnituregalleries,0,1,1.0
immmooo,0,1,1.0
newpatioumbrellas,0,1,1.0
click2ink,0,1,1.0
harrahs,3,7,0.571
ecogeeks,0,2,1.0
dovecoupon,0,1,1.0
marcospec,0,2,1.0
koolbadges,0,1,1.0
underworks,0,2,1.0
curlmart,0,3,1.0
hyatt,2,14,0.857
esportsonline,0,3,1.0
longstreth,0,3,1.0
ibuylighting,0,1,1.0
kuwaitnoc,0,2,1.0
nyciwear,0,1,1.0
mymemory,0,1,1.0
powerbarstore,0,1,1.0
ifoundlovedesigns,0,2,1.0
nybg,0,2,1.0
lovablelabels,0,1,1.0
focusmygoal,0,1,1.0
shapefx,0,2,1.0
healthwarehouse,0,2,1.0
lightingsale,0,2,1.0
elyriahyundai,0,2,1.0
globalagendagame,0,1,1.0
babybellamaya,1,1,0.0
seventhavenue,0,6,1.0
getdigital,0,1,1.0
bigmansland,0,1,1.0
fakebake,0,1,1.0
travel,1,1,0.0
matchasource,0,1,1.0
greekgear,0,1,1.0
designsfordinkydogs,0,1,1.0
mindplace,0,1,1.0
lightersx,0,1,1.0
cottageinn,0,2,1.0
greentirebikes,0,1,1.0
barstools,1,1,0.0
floormatsnmore,0,1,1.0
cherylandco,1,6,0.833
gaming,0,1,1.0
mimsny,0,2,1.0
gevalia,1,2,0.5
beauty,3,5,0.4
grandinsroad,0,1,1.0
romeospizza,0,1,1.0
lizclaiborne,0,2,1.0
incrediblepizza,0,4,1.0
recycledthreads,0,2,1.0
ecamm,0,1,1.0
sexdreamtoys,0,1,1.0
laptopsdirect,0,1,1.0
flyingnoodle,0,1,1.0
homeavdirect,0,1,1.0
readywire,0,1,1.0
typer,0,1,1.0
giltfuse,0,2,1.0
terrificpets,0,3,1.0
thefindguide,0,1,1.0
aweber,1,1,0.0
cheapair,0,5,1.0
instylefashions,0,1,1.0
craftysteals,0,2,1.0
ammo,0,2,1.0
kidsbeddingandbathstore,0,2,1.0
mrsbeaslets,0,1,1.0
swimandsweat,0,2,1.0
wine,0,4,1.0
thebeamstore,1,3,0.667
mcmurrayhatchery,0,4,1.0
auditionsshoes,0,5,1.0
kayro,0,1,1.0
gezveal,0,1,1.0
kentuckyspeedway,0,3,1.0
mammothgear,0,2,1.0
wolfcamera,0,3,1.0
sizzix,0,1,1.0
tshirthell,0,3,1.0
selectblindscanada,0,1,1.0
tacocabana,0,1,1.0
amtrakguestrewards,0,2,1.0
batteryedge,2,3,0.333
manor,0,1,1.0
jerrysartarama,0,2,1.0
courageousthemovie,0,1,1.0
oldglory,0,6,1.0
specsuperstore,0,1,1.0
onceuponasugartree,1,1,0.0
massagechairs,0,1,1.0
eastsideluggageshop,1,1,0.0
sportclips,3,6,0.5
fuddruckers,2,2,0.0
mindsparke,0,1,1.0
suratdiamond,0,1,1.0
denimtherapy,0,1,1.0
lamppostpizza,1,2,0.5
modelcargarage,0,1,1.0
djpremium,1,5,0.8
tdjakes,1,2,0.5
westcoastskin,0,2,1.0
klicktrack,0,1,1.0
factorydirectpurses,0,1,1.0
lambers,0,1,1.0
organicliaison,2,5,0.6
efamilyfun,0,2,1.0
hotbeanbags,0,1,1.0
icewarehouse,2,5,0.6
wearyourbeer,0,1,1.0
greatbuyusa,0,1,1.0
learntoserve,0,2,1.0
safelifejackets,0,2,1.0
beerfestboots,1,1,0.0
heartonyourwrist,0,2,1.0
newkideo,0,1,1.0
designerfaves,0,1,1.0
sundayafternoons,0,2,1.0
solsticesunglasses,1,2,0.5
jessicalang,0,1,1.0
k9cuisine,0,2,1.0
wc3banlist,0,1,1.0
gumshoe,0,1,1.0
iesexpress,0,2,1.0
sycdirectory,0,1,1.0
cocooninnovations,0,1,1.0
exofficio,1,3,0.667
touchlesscarcover,1,4,0.75
telescope,0,3,1.0
homecontrast,0,1,1.0
reddotgolf,0,1,1.0
osbeusa,0,1,1.0
hotstuffclothes,0,1,1.0
bianciwatches,0,1,1.0
spafinder,0,3,1.0
boscovs,1,19,0.947
photoxpress,0,1,1.0
americansale,0,1,1.0
houstontexansproshop,1,1,0.0
caselogic,0,1,1.0
candles4less,0,1,1.0
kitchenetc,0,2,1.0
faithtrustbelieve,0,1,1.0
charlotterusse,31,62,0.5
jenniferkmulcahy,0,1,1.0
jedidiahusa,0,1,1.0
handynow,0,1,1.0
dsw,13,143,0.909
thefedorastore,0,1,1.0
rd,0,1,1.0
hartstrings,0,2,1.0
jalc,0,1,1.0
boundboxing,0,1,1.0
miamiculinarytours,0,1,1.0
fullbar,0,1,1.0
rn,0,1,1.0
suppliesforsmallholders,0,1,1.0
doodlebugprints,0,2,1.0
dsc,0,2,1.0
madlypopn,0,1,1.0
christopherandbanks,0,4,1.0
flippinout,0,1,1.0
johnsoncreeksmokejuice,0,1,1.0
medgestore,1,1,0.0
alwaysmoretohear,0,1,1.0
mymms,6,17,0.647
bellamaterna,0,1,1.0
oneeyeddoll,0,1,1.0
poochpad,0,2,1.0
akota,0,1,1.0
locationmarketingsummit,0,1,1.0
casuallivingusa,1,3,0.667
amykirk,0,1,1.0
thegreatindoors,2,5,0.6
clothingwarehouse,0,1,1.0
sanderscandy,0,1,1.0
mikyb,0,1,1.0
dancestore,1,2,0.5
bakerscatalogue,0,3,1.0
tastewashington,0,1,1.0
att,7,73,0.904
walmart,24,130,0.815
mylittlepakora,0,1,1.0
eriflescopes,0,1,1.0
vertustech,0,1,1.0
superantispyware,0,3,1.0
redpanda,0,1,1.0
plumdistrict,4,11,0.636
convomonitor,0,1,1.0
sistershopping,0,1,1.0
devoted2vintage,0,2,1.0
halloweenexpress,3,19,0.842
pokershopping,0,1,1.0
landzend,0,1,1.0
cuclaboutique,1,1,0.0
spinning,0,3,1.0
kfc,4,28,0.857
shopandship,0,1,1.0
174,0,2,1.0
nautica,0,1,1.0
tanga,0,4,1.0
jasperlures,0,1,1.0
lego,3,13,0.769
drschollsshoes,0,3,1.0
payless,6,21,0.714
globoservers,0,1,1.0
extendbar,0,1,1.0
losaltosresidenceinn,0,1,1.0
newegg,10,168,0.94
clubworldcasinos,0,2,1.0
lakeshorelearning,2,12,0.833
winndixie,0,1,1.0
dupreycosmetics,0,1,1.0
verizonwireless,17,52,0.673
kennedyspacecenter,0,3,1.0
doorgapfix,1,1,0.0
sungboutiquela,0,1,1.0
brownells,1,7,0.857
cheapwowgolds,0,1,1.0
keepsakesandsuch,0,1,1.0
samash,0,2,1.0
frenchtoast,0,1,1.0
berlinwallpaper,0,1,1.0
mamatoto,0,1,1.0
addstudent,0,1,1.0
fizzionclean,0,1,1.0
hdaccessory,0,2,1.0
aussiebum,0,3,1.0
buyitnow64,0,3,1.0
dealfun,0,1,1.0
wattspremier,0,2,1.0
oehq,1,3,0.667
petersofkensington,0,3,1.0
absinthesupply,0,1,1.0
littlefornow,0,1,1.0
ghhobby,0,1,1.0
robertdeyber,0,1,1.0
biffy,0,2,1.0
costumeuniverse,0,1,1.0
newworldchiropractic,0,1,1.0
lovethoseshirts,0,1,1.0
bluemoonscrapbooking,0,1,1.0
jeweledboxes,0,1,1.0
rainierarms,0,2,1.0
marketexpo,0,1,1.0
coinstar,0,1,1.0
mammyshop,0,1,1.0
sidesplitterscomedy,0,1,1.0
masseys,0,3,1.0
diamond,1,4,0.75
boston,0,1,1.0
mandleco,0,1,1.0
nashelle,1,1,0.0
myimpo,0,1,1.0
magpal,0,1,1.0
discountadvances,0,3,1.0
kavekorzo,0,1,1.0
namecheap,11,22,0.5
feedingisbelieving,0,3,1.0
urbanoutfitters,22,118,0.814
actionallstars,0,1,1.0
naturesbabyproducts,0,2,1.0
swimwear360,0,1,1.0
freestyleusa,0,1,1.0
lilliesgifts,0,1,1.0
vpnprivacy,0,1,1.0
geneticwear,0,1,1.0
ezcrewtax,0,1,1.0
maclocks,0,1,1.0
mediband,0,1,1.0
caesarspoconoresorts,0,4,1.0
wagonworld,0,1,1.0
cam4,1,1,0.0
iolotechnologies,0,1,1.0
goinginstyle,0,1,1.0
paylessfabric,0,1,1.0
craftconn,0,1,1.0
grandplaysystems,0,1,1.0
kays,0,1,1.0
pixelperfectid,0,1,1.0
rochesterbigandtall,0,1,1.0
homecontrols,1,2,0.5
photojojo,0,2,1.0
rchover,0,1,1.0
glasswaredreams,0,1,1.0
magshop,0,4,1.0
willowst,0,1,1.0
jennifercasaday,0,1,1.0
totalrewards,1,2,0.5
dealtime,0,1,1.0
4norpro,0,1,1.0
motivators,0,1,1.0
funandfunction,0,2,1.0
bumritediapers,0,1,1.0
bulkherbstore,0,3,1.0
inlovewithfashion,1,1,0.0
cheapnikefree,0,1,1.0
nycgo,0,1,1.0
kellyskids,0,2,1.0
idsmprinting,0,1,1.0
myzeno,0,4,1.0
potterybarn,13,61,0.787
betterworldbooks,1,4,0.75
incorporate,0,1,1.0
endicia,1,4,0.75
cooking,1,5,0.8
miniinthebox,0,2,1.0
inkpal,0,1,1.0
shopto,0,1,1.0
megasuits,0,1,1.0
philstockworld,0,2,1.0
rubytuesday,1,3,0.667
kateboutique,0,1,1.0
roseofsharonacres,0,2,1.0
yoursclothing,0,2,1.0
proboardshop,0,3,1.0
everythingbirdie,0,1,1.0
rochebros,0,2,1.0
personallypaws,0,2,1.0
vons,0,3,1.0
coffeeam,0,1,1.0
pnb,0,1,1.0
ardmoregolfcourse,0,1,1.0
longhorncaverns,0,3,1.0
cpmedical,0,2,1.0
tophotdeal,0,3,1.0
terrapass,0,1,1.0
ewiz,0,3,1.0
midwestscholar,0,1,1.0
motosport,1,8,0.875
samsonite,0,4,1.0
mypleasure,0,1,1.0
crazyscrubs,2,3,0.333
dvdempire,0,2,1.0
lovelylabels,0,1,1.0
cordblood,0,2,1.0
shabhaye,0,11,1.0
13piece,0,2,1.0
soundisolationstore,0,1,1.0
traylorpapers,0,2,1.0
gcutekids,0,1,1.0
cwimedical,0,1,1.0
mikethepikeprods,0,1,1.0
hhgregg,4,19,0.789
new,0,1,1.0
greenling,0,3,1.0
srslabs,0,2,1.0
marilynmuttroepetboutique,0,2,1.0
earthlink,0,2,1.0
coffeewiz,0,6,1.0
silviasshop,0,1,1.0
lightingshowroom,0,1,1.0
cendantcarrental,0,1,1.0
textbooks,0,4,1.0
healthyhome,0,1,1.0
simplypostcards,1,1,0.0
safebeginnings,0,1,1.0
grasslandbeef,0,2,1.0
freebears,0,1,1.0
liasophia,0,1,1.0
nespressofriendsandfamily,0,3,1.0
thenerds,1,3,0.667
skechers,3,10,0.7
surfingshopper,0,2,1.0
videowhisper,0,1,1.0
myadea,0,1,1.0
myuspostoffice,0,1,1.0
vibram,0,1,1.0
zestcandle,0,2,1.0
etix,1,1,0.0
hotwire,9,24,0.625
mvixstore,0,1,1.0
cramster,1,12,0.917
esolutionsinteractive,0,1,1.0
lifeonrecord,0,1,1.0
plumprettysugar,0,1,1.0
happycow,0,1,1.0
geartab,0,1,1.0
lavendartealounge,0,1,1.0
myhondawarranty,0,1,1.0
suplay,0,1,1.0
metin2,0,1,1.0
kiddomatic,0,1,1.0
freshpair,2,3,0.333
stamps,0,4,1.0
fengshuiimport,0,1,1.0
einsteinbros,0,5,1.0
icedfashion,0,1,1.0
goodbazaar,0,1,1.0
sitedoer,0,1,1.0
ooma,1,2,0.5
parallels,2,3,0.333
moviepostersusa,0,1,1.0
superduperinc,0,1,1.0
macbookproshop,0,1,1.0
mcafee,6,18,0.667
checkinncard,0,2,1.0
jtrenwebservices,0,1,1.0
pricecheater,0,3,1.0
livedesignshop,0,1,1.0
dezignwithaz,0,3,1.0
thenateshow,0,1,1.0
bachelorette,0,1,1.0
ftlauderdaleflights,0,1,1.0
weekendjeweg,0,1,1.0
h20plus,0,2,1.0
nordicnaturals,0,2,1.0
carcoverkingdom,0,1,1.0
mvelopes,0,2,1.0
smokeybones,0,9,1.0
barristerbooks,0,2,1.0
trinityairsoft,0,1,1.0
login,0,1,1.0
istockphoto,6,17,0.647
tungstenworld,0,1,1.0
loverocksny,0,1,1.0
menswearhouse,2,12,0.833
gbssinc,0,1,1.0
xmediatrade,0,1,1.0
canadavet,0,2,1.0
sheetworld,0,2,1.0
paperhop,0,1,1.0
groupon,2,31,0.935
nylingerie,0,2,1.0
parknfly,1,7,0.857
farfallawedding,0,1,1.0
guaranteedblinds,0,1,1.0
learnitfirst,0,1,1.0
priceline,9,22,0.591
goldcrownawards,0,1,1.0
eurosport,0,6,1.0
robotshop,0,4,1.0
pregame,0,1,1.0
rings4piercings,0,2,1.0
soapsgonebuy,0,1,1.0
dickies,1,9,0.889
frs,0,1,1.0
alzstore,0,1,1.0
smartscrubs,0,1,1.0
shopindream,0,1,1.0
tonerstore,0,1,1.0
parents,0,1,1.0
shoeboxshaveshop,0,1,1.0
eastshopex,0,1,1.0
mallux,0,1,1.0
dots,2,4,0.5
myunitard,0,1,1.0
actionsportsweb,0,2,1.0
fxnetworks,0,6,1.0
gardensupply,0,1,1.0
patemeadows,1,1,0.0
legacyfamilytreestore,0,1,1.0
skiviez,0,1,1.0
beautybridge,0,4,1.0
gardenbucket,0,1,1.0
shopecko,0,3,1.0
irishcarrentals,0,2,1.0
catalinaop,0,2,1.0
fleetfeetcarrboro,0,1,1.0
goodwoodsbritishmarket,0,1,1.0
mamabargains,0,1,1.0
talentzoo,0,2,1.0
twoengineers,0,1,1.0
fixedgearguru,0,1,1.0
madcatzstore,0,2,1.0
foodoodler,0,2,1.0
incredibledays,0,1,1.0
nrsweb,0,2,1.0
mysticmetalsbodyjewelry,0,2,1.0
lavishalice,0,1,1.0
dellsmallbusiness,0,1,1.0
focusattack,0,2,1.0
mybodibar,0,1,1.0
diecastfast,0,1,1.0
indianapolissymphony,0,1,1.0
budovideos,0,1,1.0
granadatheater,0,1,1.0
jcpportraits,4,11,0.636
starstruck,0,1,1.0
mightymulestore,0,1,1.0
nemiacreative,0,1,1.0
renu,0,1,1.0
highergroundstrading,0,2,1.0
corium21cream,0,3,1.0
cheaplubes,0,4,1.0
musictrends,0,1,1.0
unos,0,1,1.0
jmbhost,0,1,1.0
myspicesage,0,2,1.0
zfurniture,0,2,1.0
shopstashtea,0,1,1.0
lindseylou,0,1,1.0
universalstudioshollywood,3,9,0.667
raiderimage,0,2,1.0
tylenol,0,2,1.0
lovefilm,0,4,1.0
drsfostersmith,6,24,0.75
randomhouse,0,1,1.0
mariedeneen,0,1,1.0
lacostecountry,0,1,1.0
guut,0,1,1.0
rwrope,1,1,0.0
golfsmith,0,10,1.0
americanfloraldistributors,0,1,1.0
matahari,0,1,1.0
1800packrat,0,7,1.0
broadbandgear,0,1,1.0
hisfavoritestore,0,1,1.0
greenfeet,0,2,1.0
bidrivals,0,2,1.0
trulymom,0,1,1.0
wholesalecostumeclub,1,7,0.857
babymumma,0,1,1.0
craigslist,0,2,1.0
smehome,0,1,1.0
action,0,2,1.0
fashionunion,0,1,1.0
thewarehouse,0,1,1.0
favorcollection,0,2,1.0
ustoy,0,2,1.0
gotabuy,0,1,1.0
perfumemart,1,1,0.0
gaylordtexantickets,0,1,1.0
qdoba,3,12,0.75
bulkfacebooklikes,0,1,1.0
olivekids,0,2,1.0
allods,1,1,0.0
myangelclothes,0,1,1.0
marioncage,0,1,1.0
richardsandsouthern,0,1,1.0
grand20,0,1,1.0
extremeslim,0,1,1.0
ezprints,0,1,1.0
zoomin,0,1,1.0
purminerals,2,4,0.5
unidendirect,0,1,1.0
rumrunnerflasks,0,1,1.0
pgathrills,0,4,1.0
perkinsrestaurantandbakery,0,1,1.0
weddingdresses,0,1,1.0
stampington,0,1,1.0
dancedistributors,0,1,1.0
realtree,0,3,1.0
rentalcars,1,1,0.0
pearlparadise,0,1,1.0
eureka,0,4,1.0
eluxejewelry,0,1,1.0
sanmarcomarcenaria,0,1,1.0
minkybabyfabric,0,2,1.0
ozarka,0,1,1.0
corporate,0,1,1.0
thedealrack,0,1,1.0
hotautoweb,0,1,1.0
filson,0,5,1.0
sassychics,0,1,1.0
shoeocean,1,7,0.857
physassist,0,1,1.0
pendaflex,0,1,1.0
johnpauljonesarena,0,1,1.0
tumbleweedrestaurants,0,1,1.0
flipvideo,0,1,1.0
everafterstore,0,1,1.0
ipodtocomputer,0,1,1.0
comfortoneshoes,0,1,1.0
coffeecow,2,8,0.75
newimagebyyvonne,0,1,1.0
josbank,1,5,0.8
golfclubs,0,1,1.0
perpetuumjazzile,0,2,1.0
homedecoratersoutlet,0,1,1.0
earthenglowminerals,0,1,1.0
discountmags,0,5,1.0
sweetlibertine,0,1,1.0
thumball,0,1,1.0
thinkrc,0,2,1.0
kennethcole,0,4,1.0
cicispizza,8,32,0.75
bestpricetanning,0,1,1.0
clogscentral,0,2,1.0
inthewindinc,0,1,1.0
airgundepot,0,3,1.0
zapworld,0,1,1.0
importcds,0,2,1.0
swiftrewards,0,1,1.0
photocamel,0,1,1.0
bjsbrewhouse,2,18,0.889
bucklerunner,0,1,1.0
moodygardens,0,4,1.0
go2marine,0,2,1.0
bondagefetishstore,1,2,0.5
palazzo,1,1,0.0
babychangingstations,0,1,1.0
sundancesolar,0,1,1.0
epbooks,0,1,1.0
chopperscycle,0,1,1.0
shopkitchenaide,0,2,1.0
zorotools,0,1,1.0
mygreenwellies,0,1,1.0
blueribbongeneralstore,0,1,1.0
watchesonnet,0,2,1.0
vitaminhero,1,1,0.0
kungfudirect,0,2,1.0
ghqonline,0,1,1.0
thanksmamma,0,2,1.0
roamans,7,20,0.65
makemechic,0,3,1.0
sillyfarm,0,1,1.0
mountainbeautysupply,0,2,1.0
alice,0,8,1.0
humbleartsfoundation,0,1,1.0
trueprotein,0,4,1.0
burntees,0,1,1.0
edenfantasis,0,1,1.0
baseballexp,0,3,1.0
ellenshop,1,2,0.5
centuryphoto,1,2,0.5
battlefield,0,1,1.0
shipwreckbeads,0,1,1.0
hookahhub,0,1,1.0
hotdiamondsilver,0,2,1.0
nftechservices,0,1,1.0
rockvaleoutletslancaster,1,3,0.667
linenlaundry,0,2,1.0
nflpackerssite,0,2,1.0
loveitnotepads,0,1,1.0
intermedia,0,1,1.0
opgi,0,1,1.0
greetingcardsondemand,0,1,1.0
weddingchannel,0,4,1.0
luggageonline,2,2,0.0
spicylingerie,0,2,1.0
sangod,0,1,1.0
imagemedia,0,1,1.0
gamebacker,1,2,0.5
factoryperformanceparts,0,1,1.0
daffys,0,1,1.0
highlifedesigns,0,1,1.0
sierraexpeditions,0,1,1.0
euserv,0,1,1.0
bodiestickets,0,2,1.0
rugdoctor,0,1,1.0
ewayfurniture,0,1,1.0
ilearnmyway,0,2,1.0
revolvetour,0,2,1.0
norwaysports,0,1,1.0
wayfair,0,10,1.0
ephonenumbers,0,1,1.0
countrydoor,0,5,1.0
fyygame,1,2,0.5
marleycoffee,0,1,1.0
sccis,0,2,1.0
engravedgiftcreations,0,2,1.0
jbbrownandcompany,0,1,1.0
golffins,0,1,1.0
lostgolfballs,0,4,1.0
excitahost,0,1,1.0
stonecellarwines,0,1,1.0
studica,0,2,1.0
oakleysign,0,1,1.0
flamebroileryl,0,1,1.0
fazolis,1,2,0.5
o,1,1,0.0
intelligentsiacoffee,0,1,1.0
creativethoughts,0,1,1.0
all3sports,1,2,0.5
another71,0,1,1.0
quiltersresource,0,1,1.0
womenwithin,0,1,1.0
vonage,0,1,1.0
automotiveworkwear,0,2,1.0
crutchfield,1,11,0.909
yourhcg,1,1,0.0
shoehunting,0,1,1.0
traveladventures,0,1,1.0
gorustys,0,1,1.0
midwestmiles,0,1,1.0
inthecompanyofdogs,1,1,0.0
dyson,1,9,0.889
mba,0,2,1.0
extremepixels,0,1,1.0
coolerexpress,0,1,1.0
japanesepod101,0,1,1.0
evhost,0,1,1.0
discounttire,7,16,0.563
magazines,2,5,0.6
fairyprincessdesigns,0,1,1.0
bedbathhome,0,1,1.0
stylemint,0,1,1.0
ebargeravonrep,0,1,1.0
fleurione,0,1,1.0
gamescapes,0,1,1.0
extremepizza,4,17,0.765
pegasussoaps,0,1,1.0
slapongear,0,1,1.0
prosource,0,3,1.0
vodaswim,0,2,1.0
fabric,2,25,0.92
needledoctor,0,2,1.0
jurlique,0,2,1.0
moabtrailguide,0,1,1.0
legallyblondethemusical,0,1,1.0
canvaspop,0,1,1.0
wirelessmarketplus,0,2,1.0
wordpress,1,1,0.0
justpetstrollers,0,2,1.0
giftsnidea,0,1,1.0
big5sportinggoods,2,22,0.909
swimoutlet,1,15,0.933
rcpw,0,1,1.0
241pizza,0,1,1.0
anntaylor,14,35,0.6
scanmyphotos,0,1,1.0
hyperwear,0,1,1.0
pencils,0,1,1.0
tigers,0,2,1.0
paypal,8,52,0.846
ghilliesandstuff,0,1,1.0
conroysbeach,0,1,1.0
mcdarlins,0,1,1.0
buyairsoft,0,1,1.0
airnewzealand,0,4,1.0
micahco,0,1,1.0
auntiesbeads,0,2,1.0
petsolutions,1,4,0.75
fabrikade,0,1,1.0
beardhead,0,1,1.0
wildcatexpressdelivery,0,1,1.0
hairxpress,0,1,1.0
wholesaleposterframes,0,2,1.0
gratewalloffire,0,1,1.0
kohls,162,1082,0.85
hotelschart,0,1,1.0
vacanteen,0,1,1.0
evershock,0,1,1.0
buyonlinenow,0,1,1.0
heartratewatchcompany,0,3,1.0
fellowshipbooks,0,1,1.0
shoeline,0,4,1.0
mysmartpac,0,1,1.0
mailwasher,0,2,1.0
airnz,0,3,1.0
sidekick,0,1,1.0
yourslimvision,0,1,1.0
hiwaar,0,1,1.0
novanaturaltoys,0,1,1.0
illumiwear,0,1,1.0
livestrong,0,2,1.0
ferozsoftware,0,1,1.0
bigskinny,0,5,1.0
photogifts,0,2,1.0
mercerpublishing,1,2,0.5
kbkphoto,0,1,1.0
playboy,1,1,0.0
numculator,0,1,1.0
myschoolmemories,0,1,1.0
trusnow,0,1,1.0
anyflag,0,2,1.0
sprint,0,27,1.0
lisakirkdesigns,0,1,1.0
earnesteats,0,1,1.0
lagarconne,0,6,1.0
sassybax,0,1,1.0
beddingsets,0,2,1.0
ticketzoom,0,2,1.0
bestbullysticks,0,4,1.0
vivandingrid,0,1,1.0
oasisinet,0,1,1.0
avs4you,0,1,1.0
naturalpetwarehouse,0,1,1.0
patriotsurplus,0,2,1.0
rocknjocks,0,1,1.0
bobuxusa,0,1,1.0
microscripts,0,1,1.0
gottreats,0,1,1.0
frontierairlines,3,11,0.727
ideabooks4u,0,1,1.0
betseyjohnson,1,2,0.5
avcdistributor,0,1,1.0
inspiredbychristian,0,1,1.0
ramada,2,4,0.5
constructiongear,0,1,1.0
