Coupon,Num. Of Clicks,Min Time,Min-Clicks,Max Time,Max-Clicks,Mean,Meadian,Std. Dev
2532262,1,06,1,06,1,6.0,6.0,0.0
S156240,2,18,1,18,1,26.0,26.0,8.0
1844405,3,03,1,03,1,23.0,14,21.455
2746028,3,44,1,44,1,44.0,44,11.431
1654665,1,20,1,20,1,20.0,20.0,0.0
2788567,1,48,1,48,1,48.0,48.0,0.0
2849348,3,26,1,26,1,39.0,43,9.747
2089334,1,13,1,13,1,13.0,13.0,0.0
2110538,4,32,1,32,1,29.0,23.0,18.861
2837836,1,24,1,24,1,24.0,24.0,0.0
2748157,1,16,1,16,1,16.0,16.0,0.0
2780258,1,56,1,56,1,56.0,56.0,0.0
2805786,3,13,1,13,1,26.0,13,21.749
2787598,1,47,1,47,1,47.0,47.0,0.0
S143639,2,31,1,31,1,34.0,34.0,3.0
2770434,2,46,1,46,1,47.0,47.0,1.0
427283,5,07,1,51,2,28.0,16,18.905
2055085,2,37,1,37,1,47.0,47.5,10.512
2766916,1,28,1,28,1,28.0,28.0,0.0
2844977,1,59,1,59,1,59.0,59.0,0.0
S143018,3,09,1,09,1,28.0,34,14.059
2780398,1,00,1,00,1,0.0,0.0,0.0
2631907,1,52,1,52,1,52.0,52.0,0.0
2379120,1,27,1,27,1,27.0,27.0,0.0
S137404,1,45,1,45,1,45.0,45.0,0.0
2816552,3,54,1,54,1,46.0,53,10.149
1759409,1,18,1,18,1,18.0,18.0,0.0
S169428,2,34,2,34,2,34.0,34.0,0.0
1485468,1,39,1,39,1,39.0,39.0,0.0
916446,1,17,1,17,1,17.0,17.0,0.0
2655228,1,52,1,52,1,52.0,52.0,0.0
2452848,1,08,1,08,1,8.0,8.0,0.0
2838972,1,15,1,15,1,15.0,15.0,0.0
2834225,4,13,1,14,2,23.0,14.0,17.044
S142506,1,59,1,59,1,59.0,59.0,0.0
2785477,2,11,1,11,1,10.0,10.5,0.707
2621520,1,38,1,38,1,38.0,38.0,0.0
2643643,1,46,1,46,1,46.0,46.0,0.0
2778432,1,13,1,13,1,13.0,13.0,0.0
2618162,5,02,1,02,1,42.0,51,20.425
2710033,1,38,1,38,1,38.0,38.0,0.0
2464475,1,09,1,09,1,9.0,9.0,0.0
2709729,1,11,1,11,1,11.0,11.0,0.0
2776492,5,33,1,37,2,37.0,37,2.408
2039986,1,45,1,45,1,45.0,45.0,0.0
2808282,1,27,1,27,1,27.0,27.0,0.0
S136629,1,20,1,20,1,20.0,20.0,0.0
2489097,4,12,1,27,2,28.0,27.0,12.826
2823454,1,48,1,48,1,48.0,48.0,0.0
1606190,2,14,1,14,1,31.0,31.5,17.507
2746195,1,35,1,35,1,35.0,35.0,0.0
1488802,4,56,1,57,2,55.0,56.5,2.121
797270,1,16,1,16,1,16.0,16.0,0.0
S160231,1,51,1,51,1,51.0,51.0,0.0
2666382,1,44,1,44,1,44.0,44.0,0.0
2701151,1,47,1,47,1,47.0,47.0,0.0
2824407,1,34,1,34,1,34.0,34.0,0.0
S137321,1,16,1,16,1,16.0,16.0,0.0
2825855,10,13,1,57,2,27.0,26.5,17.222
2713686,1,10,1,10,1,10.0,10.0,0.0
2849530,5,47,1,47,1,32.0,27,14.913
2779535,2,30,1,30,1,44.0,44.0,14.0
S136376,17,03,1,03,1,30.0,33,15.837
2808944,1,06,1,06,1,6.0,6.0,0.0
2823432,1,40,1,40,1,40.0,40.0,0.0
2794927,5,47,1,47,1,44.0,47,11.764
706075,1,33,1,33,1,33.0,33.0,0.0
2829723,1,03,1,03,1,3.0,3.0,0.0
2807029,1,15,1,15,1,15.0,15.0,0.0
2800512,1,09,1,09,1,9.0,9.0,0.0
2687250,1,08,1,08,1,8.0,8.0,0.0
1892722,1,08,1,08,1,8.0,8.0,0.0
1897108,1,34,1,34,1,34.0,34.0,0.0
2846346,10,39,1,41,2,32.0,40.0,14.567
2839732,1,28,1,28,1,28.0,28.0,0.0
1686887,2,46,1,46,1,46.0,46.5,0.707
2747276,4,33,1,33,1,36.0,40.5,18.941
2521232,1,18,1,18,1,18.0,18.0,0.0
S271282,2,08,1,08,1,17.0,17.0,9.0
2841886,2,01,1,01,1,4.0,4.0,3.0
539508,1,25,1,25,1,25.0,25.0,0.0
S139822,1,43,1,43,1,43.0,43.0,0.0
2836719,3,33,1,33,1,33.0,33,15.513
S150136,1,23,1,23,1,23.0,23.0,0.0
791160,1,22,1,22,1,22.0,22.0,0.0
2636318,15,11,1,15,2,22.0,15,14.461
2843869,1,17,1,17,1,17.0,17.0,0.0
S137699,1,10,1,10,1,10.0,10.0,0.0
2851421,6,49,1,16,2,28.0,25.5,18.161
2679048,2,31,1,31,1,34.0,34.0,3.0
1856124,1,30,1,30,1,30.0,30.0,0.0
2819588,3,52,1,03,2,19.0,03,23.101
2806807,4,32,1,32,1,15.0,13.5,10.512
2851894,2,57,1,57,1,56.0,56.5,0.707
680013,3,32,1,32,1,26.0,32,15.297
2819975,2,46,1,46,1,39.0,39.0,7.0
2617935,2,17,1,17,1,20.0,20.0,3.0
S147078,1,06,1,06,1,6.0,6.0,0.0
1529156,1,02,1,02,1,2.0,2.0,0.0
2135399,1,09,1,09,1,9.0,9.0,0.0
S205723,1,27,1,27,1,27.0,27.0,0.0
2320288,3,23,1,11,2,15.0,11,5.657
2601917,1,44,1,44,1,44.0,44.0,0.0
2843852,1,55,1,55,1,55.0,55.0,0.0
2120978,1,11,1,11,1,11.0,11.0,0.0
2816585,2,02,1,02,1,25.0,25.5,23.505
2539825,1,42,1,42,1,42.0,42.0,0.0
2091508,1,32,1,32,1,32.0,32.0,0.0
2834696,8,07,1,19,2,19.0,18.0,8.307
S185984,1,22,1,22,1,22.0,22.0,0.0
2442017,3,41,1,21,2,27.0,21,9.452
2697448,1,35,1,35,1,35.0,35.0,0.0
2837042,1,02,1,02,1,2.0,2.0,0.0
S153976,1,10,1,10,1,10.0,10.0,0.0
2068169,1,23,1,23,1,23.0,23.0,0.0
2343395,2,47,1,47,1,46.0,46.0,1.0
2740043,1,05,1,05,1,5.0,5.0,0.0
2799348,1,22,1,22,1,22.0,22.0,0.0
2819413,2,46,1,46,1,29.0,29.5,16.508
2759617,1,25,1,25,1,25.0,25.0,0.0
2835416,1,31,1,31,1,31.0,31.0,0.0
1295387,1,04,1,04,1,4.0,4.0,0.0
1927160,1,51,1,51,1,51.0,51.0,0.0
2087886,1,29,1,29,1,29.0,29.0,0.0
2756590,1,40,1,40,1,40.0,40.0,0.0
2131770,9,38,1,38,1,25.0,21,17.385
557153,1,27,1,27,1,27.0,27.0,0.0
628149,1,39,1,39,1,39.0,39.0,0.0
2837977,2,46,1,46,1,49.0,49.0,3.0
2774764,1,02,1,02,1,2.0,2.0,0.0
2085841,1,47,1,47,1,47.0,47.0,0.0
1478716,1,28,1,28,1,28.0,28.0,0.0
2810068,2,46,1,46,1,49.0,49.0,3.0
2634321,1,06,1,06,1,6.0,6.0,0.0
2759318,9,03,1,03,1,26.0,21,16.793
2265519,1,29,1,29,1,29.0,29.0,0.0
S137550,2,26,1,26,1,20.0,20.0,6.0
657998,1,17,1,17,1,17.0,17.0,0.0
2828801,1,06,1,06,1,6.0,6.0,0.0
1498037,1,07,1,07,1,7.0,7.0,0.0
2849777,4,08,1,08,1,15.0,17.5,12.114
2769876,1,34,1,34,1,34.0,34.0,0.0
2786251,3,27,1,27,1,26.0,27,17.972
2099888,2,47,1,47,1,25.0,25.5,21.506
2783347,1,33,1,33,1,33.0,33.0,0.0
S137445,1,38,1,38,1,38.0,38.0,0.0
2742821,1,49,1,49,1,49.0,49.0,0.0
1483520,1,10,1,10,1,10.0,10.0,0.0
2423308,1,51,1,51,1,51.0,51.0,0.0
2844064,7,13,1,13,1,28.0,18,17.436
2571900,1,41,1,41,1,41.0,41.0,0.0
2659426,1,46,1,46,1,46.0,46.0,0.0
2603325,3,37,1,37,1,27.0,29,9.092
1674230,2,31,1,31,1,30.0,30.5,0.707
2798361,2,08,1,08,1,23.0,23.5,15.508
2786884,1,54,1,54,1,54.0,54.0,0.0
771587,1,58,1,58,1,58.0,58.0,0.0
2654412,3,16,1,16,1,29.0,23,14.201
2795182,2,51,1,51,1,51.0,51.5,0.707
1550381,2,31,1,31,1,38.0,38.0,7.0
2320919,1,34,1,34,1,34.0,34.0,0.0
S192465,1,13,1,13,1,13.0,13.0,0.0
2851651,6,33,1,26,2,30.0,29.5,6.721
1841398,2,46,1,46,1,49.0,49.5,3.536
2747359,2,43,1,43,1,42.0,42.0,1.0
2380466,1,58,1,58,1,58.0,58.0,0.0
1941395,1,40,1,40,1,40.0,40.0,0.0
2844366,1,48,1,48,1,48.0,48.0,0.0
2053355,1,49,1,49,1,49.0,49.0,0.0
2822586,5,56,1,56,1,41.0,40,11.118
427693,1,59,1,59,1,59.0,59.0,0.0
S141875,1,28,1,28,1,28.0,28.0,0.0
S169093,1,45,1,45,1,45.0,45.0,0.0
2632368,2,51,2,51,2,51.0,51.0,0.0
2747337,1,47,1,47,1,47.0,47.0,0.0
2764964,1,27,1,27,1,27.0,27.0,0.0
2851236,2,17,1,17,1,16.0,16.5,0.707
2836987,1,51,1,51,1,51.0,51.0,0.0
2850985,1,25,1,25,1,25.0,25.0,0.0
2685046,1,56,1,56,1,56.0,56.0,0.0
2838080,8,02,1,02,1,34.0,41.0,19.213
2732299,2,26,1,26,1,24.0,24.0,2.0
1632937,1,22,1,22,1,22.0,22.0,0.0
1687190,2,58,2,58,2,58.0,58.0,0.0
2847303,1,29,1,29,1,29.0,29.0,0.0
2847890,1,44,1,44,1,44.0,44.0,0.0
2424555,1,16,1,16,1,16.0,16.0,0.0
2848695,1,56,1,56,1,56.0,56.0,0.0
S148018,1,25,1,25,1,25.0,25.0,0.0
2826121,23,26,1,37,2,34.0,36,15.99
2846210,1,18,1,18,1,18.0,18.0,0.0
2799908,5,46,1,46,1,22.0,20,14.415
2350368,2,24,1,24,1,24.0,24.5,0.707
1870847,1,03,1,03,1,3.0,3.0,0.0
1977703,1,00,1,00,1,0.0,0.0,0.0
S166208,1,53,1,53,1,53.0,53.0,0.0
1247703,1,29,1,29,1,29.0,29.0,0.0
1042097,1,46,1,46,1,46.0,46.0,0.0
2841526,1,05,1,05,1,5.0,5.0,0.0
906146,1,23,1,23,1,23.0,23.0,0.0
2264295,1,38,1,38,1,38.0,38.0,0.0
2783656,9,01,1,32,2,28.0,31,19.813
2476711,2,41,1,41,1,28.0,28.5,12.51
S173307,1,57,1,57,1,57.0,57.0,0.0
S136714,1,27,1,27,1,27.0,27.0,0.0
2831435,1,10,1,10,1,10.0,10.0,0.0
2020372,1,47,1,47,1,47.0,47.0,0.0
S163838,2,01,1,01,1,9.0,9.0,8.0
2794518,1,43,1,43,1,43.0,43.0,0.0
S145075,1,01,1,01,1,1.0,1.0,0.0
1906285,1,02,1,02,1,2.0,2.0,0.0
2847267,1,34,1,34,1,34.0,34.0,0.0
2835579,1,27,1,27,1,27.0,27.0,0.0
2835582,3,50,1,24,2,32.0,24,12.275
1438626,1,23,1,23,1,23.0,23.0,0.0
2016449,1,07,1,07,1,7.0,7.0,0.0
2851535,2,03,1,03,1,13.0,13.0,10.0
2709181,2,10,1,10,1,34.0,34.0,24.0
S174074,1,32,1,32,1,32.0,32.0,0.0
2846782,3,36,1,36,1,33.0,36,13.204
2818069,1,12,1,12,1,12.0,12.0,0.0
2774709,1,07,1,07,1,7.0,7.0,0.0
S203783,1,34,1,34,1,34.0,34.0,0.0
2843675,1,50,1,50,1,50.0,50.0,0.0
2841548,1,42,1,42,1,42.0,42.0,0.0
2629144,1,05,1,05,1,5.0,5.0,0.0
1382135,1,59,1,59,1,59.0,59.0,0.0
2711583,3,25,1,25,1,37.0,38,9.416
S137508,9,24,1,24,1,31.0,30,16.617
2847249,1,13,1,13,1,13.0,13.0,0.0
1977625,2,12,1,12,1,17.0,17.5,5.523
2799955,5,02,1,59,2,36.0,41,22.068
2827839,3,00,1,00,1,28.0,35,20.952
2847463,1,27,1,27,1,27.0,27.0,0.0
2760925,4,24,1,24,1,41.0,45.5,10.283
2830317,1,27,1,27,1,27.0,27.0,0.0
2787326,1,56,1,56,1,56.0,56.0,0.0
2257884,5,47,1,47,1,22.0,17,16.852
1552349,1,43,1,43,1,43.0,43.0,0.0
2539140,2,37,1,37,1,25.0,25.5,11.511
2841776,1,10,1,10,1,10.0,10.0,0.0
2447142,1,47,1,47,1,47.0,47.0,0.0
2520634,1,30,1,30,1,30.0,30.0,0.0
S147834,1,55,1,55,1,55.0,55.0,0.0
2417639,1,47,1,47,1,47.0,47.0,0.0
2786670,1,08,1,08,1,8.0,8.0,0.0
2612631,1,29,1,29,1,29.0,29.0,0.0
2519363,1,06,1,06,1,6.0,6.0,0.0
2830354,2,54,1,54,1,46.0,46.0,8.0
2685285,3,55,1,55,1,22.0,10,23.622
2407962,1,58,1,58,1,58.0,58.0,0.0
2770436,2,08,1,08,1,11.0,11.0,3.0
2784263,1,57,1,57,1,57.0,57.0,0.0
1849699,1,36,1,36,1,36.0,36.0,0.0
S227605,1,21,1,21,1,21.0,21.0,0.0
2842021,1,04,1,04,1,4.0,4.0,0.0
2478934,1,26,1,26,1,26.0,26.0,0.0
2746765,1,17,1,17,1,17.0,17.0,0.0
1906544,1,59,1,59,1,59.0,59.0,0.0
2746171,1,31,1,31,1,31.0,31.0,0.0
2842553,1,35,1,35,1,35.0,35.0,0.0
2850840,1,54,1,54,1,54.0,54.0,0.0
2839978,4,28,1,42,2,34.0,35.0,7.297
2584978,1,08,1,08,1,8.0,8.0,0.0
2849489,1,06,1,06,1,6.0,6.0,0.0
2622667,2,00,1,00,1,4.0,4.0,4.0
S143651,3,07,3,07,3,7.0,07,0.0
S197556,1,42,1,42,1,42.0,42.0,0.0
S141368,1,25,1,25,1,25.0,25.0,0.0
1563783,1,26,1,26,1,26.0,26.0,0.0
2707148,1,41,1,41,1,41.0,41.0,0.0
2827693,1,12,1,12,1,12.0,12.0,0.0
1935715,1,22,1,22,1,22.0,22.0,0.0
2842313,1,52,1,52,1,52.0,52.0,0.0
2579785,1,17,1,17,1,17.0,17.0,0.0
654872,1,51,1,51,1,51.0,51.0,0.0
2767423,1,14,1,14,1,14.0,14.0,0.0
2585076,1,08,1,08,1,8.0,8.0,0.0
1978642,2,20,1,20,1,24.0,24.5,4.528
S146381,2,37,1,37,1,38.0,38.5,1.581
2689377,1,21,1,21,1,21.0,21.0,0.0
S175764,1,44,1,44,1,44.0,44.0,0.0
1811321,2,26,1,26,1,24.0,24.5,1.581
1585809,1,02,1,02,1,2.0,2.0,0.0
1918930,1,26,1,26,1,26.0,26.0,0.0
2851217,3,55,1,55,1,32.0,40,22.308
S136673,1,06,1,06,1,6.0,6.0,0.0
2589228,1,51,1,51,1,51.0,51.0,0.0
2844278,1,03,1,03,1,3.0,3.0,0.0
2694356,1,44,1,44,1,44.0,44.0,0.0
2685310,2,02,1,02,1,7.0,7.5,5.523
2801559,1,44,1,44,1,44.0,44.0,0.0
1980442,1,58,1,58,1,58.0,58.0,0.0
2787302,3,33,1,33,1,17.0,15,11.605
2448313,2,27,1,27,1,25.0,25.0,2.0
2261852,1,14,1,14,1,14.0,14.0,0.0
S236034,1,21,1,21,1,21.0,21.0,0.0
1749729,4,06,4,06,4,6.0,6.0,0.0
2778492,2,48,2,48,2,48.0,48.0,0.0
2779533,3,33,1,33,1,39.0,36,7.439
1931764,1,45,1,45,1,45.0,45.0,0.0
2837923,1,55,1,55,1,55.0,55.0,0.0
2570525,1,09,1,09,1,9.0,9.0,0.0
2625314,1,39,1,39,1,39.0,39.0,0.0
S154036,1,14,1,14,1,14.0,14.0,0.0
2772317,1,34,1,34,1,34.0,34.0,0.0
2839643,8,39,1,39,1,44.0,47.0,8.193
2836911,2,14,1,14,1,15.0,15.5,1.581
2495690,1,51,1,51,1,51.0,51.0,0.0
1939835,1,41,1,41,1,41.0,41.0,0.0
381166,2,44,1,44,1,29.0,29.0,15.0
2641766,1,55,1,55,1,55.0,55.0,0.0
2443373,1,37,1,37,1,37.0,37.0,0.0
2757638,1,32,1,32,1,32.0,32.0,0.0
2835536,1,54,1,54,1,54.0,54.0,0.0
2851458,11,03,1,18,2,25.0,23,13.41
1305968,1,43,1,43,1,43.0,43.0,0.0
2505866,1,51,1,51,1,51.0,51.0,0.0
2473772,1,44,1,44,1,44.0,44.0,0.0
2428972,5,19,1,19,1,29.0,25,9.274
2839669,1,02,1,02,1,2.0,2.0,0.0
2556141,1,11,1,11,1,11.0,11.0,0.0
2192070,1,12,1,12,1,12.0,12.0,0.0
2645617,3,55,1,55,1,50.0,55,9.129
S142578,1,06,1,06,1,6.0,6.0,0.0
2333963,1,02,1,02,1,2.0,2.0,0.0
2760181,1,53,1,53,1,53.0,53.0,0.0
2478139,1,59,1,59,1,59.0,59.0,0.0
2805731,2,19,1,19,1,20.0,20.5,1.581
2566859,3,58,1,45,2,49.0,45,6.137
S148877,1,13,1,13,1,13.0,13.0,0.0
2648290,3,39,1,40,2,39.0,40,0.816
2743793,2,33,1,33,1,32.0,32.5,0.707
2176095,1,31,1,31,1,31.0,31.0,0.0
2120976,1,09,1,09,1,9.0,9.0,0.0
1254268,1,13,1,13,1,13.0,13.0,0.0
S152212,1,04,1,04,1,4.0,4.0,0.0
2710503,1,45,1,45,1,45.0,45.0,0.0
2756975,3,19,1,19,1,21.0,20,2.646
1816559,1,40,1,40,1,40.0,40.0,0.0
2602006,1,44,1,44,1,44.0,44.0,0.0
2764603,15,17,1,04,4,21.0,17,18.603
2755285,1,38,1,38,1,38.0,38.0,0.0
1573434,1,08,1,08,1,8.0,8.0,0.0
1010214,2,40,2,40,2,40.0,40.0,0.0
1877614,1,51,1,51,1,51.0,51.0,0.0
940342,1,45,1,45,1,45.0,45.0,0.0
2681785,1,10,1,10,1,10.0,10.0,0.0
2762461,1,04,1,04,1,4.0,4.0,0.0
2595794,1,03,1,03,1,3.0,3.0,0.0
2787826,2,21,2,21,2,21.0,21.0,0.0
2743993,4,38,1,40,3,39.0,40.0,1.0
2837337,1,39,1,39,1,39.0,39.0,0.0
2698986,1,52,1,52,1,52.0,52.0,0.0
2762370,1,27,1,27,1,27.0,27.0,0.0
2837044,23,01,1,43,3,24.0,26,14.159
2805420,3,14,1,14,1,28.0,35,10.149
2434901,1,47,1,47,1,47.0,47.0,0.0
2701363,1,35,1,35,1,35.0,35.0,0.0
1880922,1,14,1,14,1,14.0,14.0,0.0
2809558,1,27,1,27,1,27.0,27.0,0.0
1751143,1,55,1,55,1,55.0,55.0,0.0
2318832,1,34,1,34,1,34.0,34.0,0.0
2848086,1,45,1,45,1,45.0,45.0,0.0
1694791,1,58,1,58,1,58.0,58.0,0.0
2850506,1,19,1,19,1,19.0,19.0,0.0
2738641,1,41,1,41,1,41.0,41.0,0.0
2851184,1,53,1,53,1,53.0,53.0,0.0
2468721,1,17,1,17,1,17.0,17.0,0.0
1952638,1,38,1,38,1,38.0,38.0,0.0
2623258,3,30,1,52,2,44.0,52,10.392
S214830,1,49,1,49,1,49.0,49.0,0.0
2851940,1,59,1,59,1,59.0,59.0,0.0
2819480,2,24,1,24,1,15.0,15.5,8.515
2522324,2,39,1,39,1,22.0,22.0,17.0
2840384,1,17,1,17,1,17.0,17.0,0.0
2783604,2,33,1,33,1,31.0,31.0,2.0
2747407,12,02,1,24,2,27.0,24.0,16.307
2817559,1,37,1,37,1,37.0,37.0,0.0
1257243,1,24,1,24,1,24.0,24.0,0.0
2845129,1,36,1,36,1,36.0,36.0,0.0
2104371,1,17,1,17,1,17.0,17.0,0.0
1468792,1,16,1,16,1,16.0,16.0,0.0
2849720,1,39,1,39,1,39.0,39.0,0.0
1630160,1,48,1,48,1,48.0,48.0,0.0
2851711,1,00,1,00,1,0.0,0.0,0.0
2829229,3,06,1,06,1,9.0,06,5.447
S169729,1,05,1,05,1,5.0,5.0,0.0
2767493,1,07,1,07,1,7.0,7.0,0.0
1702959,1,03,1,03,1,3.0,3.0,0.0
2808411,1,32,1,32,1,32.0,32.0,0.0
2830161,1,40,1,40,1,40.0,40.0,0.0
2786387,1,51,1,51,1,51.0,51.0,0.0
1709619,1,25,1,25,1,25.0,25.0,0.0
2479040,21,37,1,37,1,27.0,28,16.699
S184150,1,41,1,41,1,41.0,41.0,0.0
1536013,1,09,1,09,1,9.0,9.0,0.0
S183003,2,13,2,13,2,13.0,13.0,0.0
2533363,1,06,1,06,1,6.0,6.0,0.0
2839586,1,48,1,48,1,48.0,48.0,0.0
2800136,1,53,1,53,1,53.0,53.0,0.0
2615624,1,57,1,57,1,57.0,57.0,0.0
S140834,1,47,1,47,1,47.0,47.0,0.0
2826051,2,56,1,56,1,52.0,52.0,4.0
2826084,1,02,1,02,1,2.0,2.0,0.0
2663486,1,33,1,33,1,33.0,33.0,0.0
1260236,1,40,1,40,1,40.0,40.0,0.0
S182879,1,59,1,59,1,59.0,59.0,0.0
2842838,1,53,1,53,1,53.0,53.0,0.0
S180105,1,02,1,02,1,2.0,2.0,0.0
S137046,1,22,1,22,1,22.0,22.0,0.0
2839419,17,02,1,40,3,26.0,29,19.267
2851653,2,25,1,25,1,30.0,30.5,5.523
2851269,5,32,1,50,2,43.0,43,6.633
1970738,1,47,1,47,1,47.0,47.0,0.0
608455,1,34,1,34,1,34.0,34.0,0.0
2612599,1,45,1,45,1,45.0,45.0,0.0
1551196,1,27,1,27,1,27.0,27.0,0.0
2844364,3,27,1,27,1,34.0,28,10.165
1948542,1,35,1,35,1,35.0,35.0,0.0
2851334,4,26,1,26,1,31.0,34.5,13.219
S168983,1,36,1,36,1,36.0,36.0,0.0
2714417,1,49,1,49,1,49.0,49.0,0.0
2836669,1,42,1,42,1,42.0,42.0,0.0
2643206,2,10,1,10,1,11.0,11.0,1.0
2837374,1,31,1,31,1,31.0,31.0,0.0
2525391,2,30,1,30,1,18.0,18.5,11.511
2811373,2,35,2,35,2,35.0,35.0,0.0
2681940,1,19,1,19,1,19.0,19.0,0.0
2432051,1,17,1,17,1,17.0,17.0,0.0
498789,2,31,1,31,1,32.0,32.5,1.581
2750939,1,45,1,45,1,45.0,45.0,0.0
2839043,1,09,1,09,1,9.0,9.0,0.0
2825890,1,37,1,37,1,37.0,37.0,0.0
2839742,14,03,1,28,3,22.0,24.0,15.664
653174,1,01,1,01,1,1.0,1.0,0.0
2602304,1,16,1,16,1,16.0,16.0,0.0
1837502,1,47,1,47,1,47.0,47.0,0.0
2475450,2,24,1,24,1,22.0,22.0,2.0
2801062,3,51,1,51,1,29.0,21,15.46
2743723,1,10,1,10,1,10.0,10.0,0.0
2771743,8,22,1,28,2,36.0,38.0,9.172
2599827,1,01,1,01,1,1.0,1.0,0.0
2699352,1,46,1,46,1,46.0,46.0,0.0
1870845,1,02,1,02,1,2.0,2.0,0.0
2849280,1,16,1,16,1,16.0,16.0,0.0
1526930,1,45,1,45,1,45.0,45.0,0.0
2680045,1,06,1,06,1,6.0,6.0,0.0
2840562,5,18,1,18,1,17.0,18,13.13
2682358,1,42,1,42,1,42.0,42.0,0.0
S155947,1,23,1,23,1,23.0,23.0,0.0
2776915,1,33,1,33,1,33.0,33.0,0.0
2831462,2,01,1,01,1,18.0,18.0,17.0
S137778,1,59,1,59,1,59.0,59.0,0.0
2783654,2,39,2,39,2,39.0,39.0,0.0
2765320,7,39,1,15,2,23.0,20,9.274
1738206,2,25,1,25,1,37.0,37.5,12.51
2842780,1,55,1,55,1,55.0,55.0,0.0
2386043,6,11,1,11,1,30.0,29.5,17.531
1638108,2,13,1,13,1,13.0,13.5,0.707
2837163,2,58,1,58,1,53.0,53.5,4.528
2608016,1,29,1,29,1,29.0,29.0,0.0
2533910,1,27,1,27,1,27.0,27.0,0.0
S170813,2,02,1,02,1,8.0,8.0,6.0
608471,1,10,1,10,1,10.0,10.0,0.0
301041,1,57,1,57,1,57.0,57.0,0.0
2851439,1,13,1,13,1,13.0,13.0,0.0
1898717,1,33,1,33,1,33.0,33.0,0.0
2720091,1,40,1,40,1,40.0,40.0,0.0
2330592,2,13,1,13,1,13.0,13.5,0.707
2841996,1,57,1,57,1,57.0,57.0,0.0
2823388,1,53,1,53,1,53.0,53.0,0.0
2128002,1,48,1,48,1,48.0,48.0,0.0
S143671,1,44,1,44,1,44.0,44.0,0.0
1731903,1,28,1,28,1,28.0,28.0,0.0
